2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : NUMBER_OF_PROCESSORS
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.mvc.view.prefix
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.mvc.view.suffix
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : logging.level.org.springframework.web
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.mvc.log-resolved-exception
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : logging.file
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : management.endpoints.web.base-path
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : management.endpoints.web.exposure.include
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.jpa.show-sql
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.jpa.hibernate.ddl-auto
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.datasource.driver-class-name
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.jpa.properties.hibernate.dialect
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.datasource.url
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.datasource.username
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.datasource.password
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.resources.cache.period
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.groovy.template.cache
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : server.servlet.jsp.init-parameters.development
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.thymeleaf.cache
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.freemarker.cache
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : server.error.include-stacktrace
